MEGFR,Viatura_COD,TIPO_DECIR,ELEMENTO,COD_EQUIPA,CODIGO_ICNF,TIPOLOGIA,MODELO,MARCA,CHASSIS,MATRICULA,UO_DRCNF,BASE,ESTADO,AGFR,LAT_BASE,LONG_BASE,DDI_VIATURA,Ligada_Meios_v1
EGFR,VCOT AR-70-ZJ,VCOT,NULL,NULL,VGFR 06 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-70-ZJ,Norte,Braga,NULL,NORTE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT AR-74-ZJ,VCOT,NULL,NULL,VGFR 07 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-74-ZJ,Norte,Arouca,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-66-ZJ,VCOT,NULL,NULL,VGFR 08 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-66-ZJ,Norte,Bragança,NULL,NORTE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT AR-62-ZJ,VCOT,NULL,NULL,VGFR 09 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-62-ZJ,Norte,Chaves,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-71-ZJ,VCOT,NULL,NULL,VGFR 10 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-71-ZJ,Norte,Porto,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-30,VCOT,NULL,NULL,VGFR 01 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-30,Centro,Castelo Branco,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-43,VCOT,NULL,NULL,VGFR 02 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-43,Centro,Viseu,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-60-ZJ,VCOT,NULL,NULL,VGFR 03 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-60-ZJ,Centro,Viseu,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-78-ZJ,VCOT,NULL,NULL,VGFR 04 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-78-ZJ,Centro,Guarda,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-56-ZJ,VCOT,NULL,NULL,VGFR 09 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-56-ZJ,Centro,Guarda,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-76-ZJ,VCOT,NULL,NULL,VGFR 05 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-76-ZJ,Centro,Aveiro,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-55-ZJ,VCOT,NULL,NULL,VGFR 06 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-55-ZJ,Centro,Lousã,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-68-ZJ,VCOT,NULL,NULL,VGFR 07 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-68-ZJ,Centro,Marinha Grande,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-79-ZJ,VCOT,NULL,NULL,VGFR 08 CNT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-79-ZJ,Centro,Castelo Branco,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT AA-93-LV,VCOT,NULL,NULL,VAFR 01 LVT,Veículo de Apoio de Fogo Rural,Outlander Diesel,Mitsubishi,NULL,AA-93-LV,LVT,Sintra,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT AA-94-LV,VCOT,NULL,NULL,VASG 01 ALE,Veículo de Apoio de Fogo Rural,Outlander,Mitsubishi,NULL,AA-94-LV,Alentejo,Alcácer do Sal,NULL,ALENTEJO,NULL,NULL,NULL,NÃO ligada
