MEGFR,TipoTerminal,DDI,UnidadeFuncional,Entidade,RadioUserAlias,COD_EQUIPA,Estado,NUTSIII,Indicativo_Operacional_Radio,Ligado_Meios_v1
ESF,Portatil,3260517,Conselho Directivo dos Baldios da Freguesia de Castro Laboreiro,ESF,SF 22-111 AM,SF 22-111,1,Alto Minho,S_F_VINTE_E_DOIS_MELGAÇO,Ligado (DDI)
ESF,Portatil,3260518,Associação de Produtores Florestais do Vale do Minho,ESF,SF 23-111 AM,SF 23-111,1,Alto Minho,S_F_VINTE_E_TRES_PAREDES_DE_COURA,Ligado (COD_EQUIPA)
ESF,Portatil,3260519,Município de Melgaço,ESF,SF 24-111 AM,SF 24-111,1,Alto Minho,S_F_VINTE_E_QUATRO_MELGAÇO,Ligado (DDI)
ESF,Portatil,3260520,Associação Florestal de Entre Douro e Tâmega,ESF,SF 26-115 TS,SF 26-115,1,Tâmega e Sousa,S_F_VINTE_E_SEIS_MARCO_DE_CANAVEZES,Ligado (DDI)
ESF,Portatil,3260521,Associação de Produtores Florestais do Vale do Minho,ESF,SF 28-111 AM,SF 28-111,1,Alto Minho,S_F_VINTE_E_OITO_MELGAÇO,Ligado (DDI)
ESF,Portatil,3260522,Associação Florestal de Entre Douro e Tâmega,ESF,SF 31-115 TS,SF 31-115,1,Tâmega e Sousa,S_F_TRITA_E_UM_BAIÃO,Ligado (DDI)
ESF,Portatil,3260523,Associação Florestal de Entre Douro e Tâmega,ESF,SF 34-115 TS,SF 34-115,1,Tâmega e Sousa,S_F_TRINTA_E_QUATRO_CINFÃES,Ligado (COD_EQUIPA)
ESF,Portatil,3260524,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,ESF,SF 49-118 TT,SF 49-118,1,Terras de Trás-Os-Montes,S_F_QUARENTA_E_NOVE_MOGADOURO,Ligado (DDI)
ESF,Portatil,3260525,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,ESF,SF 53-118 TT,SF 53-118,1,Terras de Trás-Os-Montes,S_F_CINQUENTA_E_TRÊS_MACEDO_DE_CAVALEIROS,Ligado (COD_EQUIPA)
ESF,Portatil,3260526,Conselho Diretivo do Baldio de Carvoeiro,ESF,SF 03-111 AM,SF 03-111,1,Alto Minho,S_F_TRES_VIANA_DO_CASTELO,Ligado (DDI)
ESF,Portatil,3260527,Conselho Diretivo do Baldio de Carvoeiro,ESF,SF 03-111.2 AM,SF 03-111,1,Alto Minho,S_F_TRES_VIANA_DO_CASTELO,Ligado (COD_EQUIPA)
ESF,Portatil,3260528,Associação Florestal do Lima,ESF,SF 04-111 AM,SF 04-111,1,Alto Minho,S_F_QUATRO_PONTE_DE_LIMA,Ligado (DDI)
ESF,Portatil,3260529,Associação Florestal do Lima,ESF,SF 04-111.2 AM,SF 04-111,1,Alto Minho,S_F_QUATRO_PONTE_DE_LIMA,Ligado (COD_EQUIPA)
ESF,Portatil,3260530,Associação Florestal do Lima,ESF,SF 05-111 AM,SF 05-111,1,Alto Minho,S_F_CINCO_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Portatil,3260531,Associação Florestal do Lima,ESF,SF 05-111.2 AM,SF 05-111,1,Alto Minho,S_F_CINCO_ARCOS_DE_VALDEVEZ,Ligado (COD_EQUIPA)
ESF,Portatil,3260532,Assembleia de Compartes da Freguesia de Merufe,ESF,SF 06-111 AM,SF 06-111,1,Alto Minho,S_F_SEIS_MONÇÃO,Ligado (DDI)
ESF,Portatil,3260533,Assembleia de Compartes da Freguesia de Merufe,ESF,SF 06-111.2 AM,SF 06-111,1,Alto Minho,S_F_SEIS_MONÇÃO,Ligado (COD_EQUIPA)
ESF,Portatil,3260534,Associação de Produtores Florestais do Vale do Minho,ESF,SF 07-111 AM,SF 07-111,1,Alto Minho,S_F_SETE_PAREDES_DE_COURA,Ligado (DDI)
ESF,Portatil,3260535,Associação de Produtores Florestais do Vale do Minho,ESF,SF 07-111.2 AM,SF 07-111,1,Alto Minho,S_F_SETE_PAREDES_DE_COURA,Ligado (COD_EQUIPA)
ESF,Viatura,3260536,Associação Florestal do Lima,ESF,SF 08-111 AM,SF 08-111,1,Alto Minho,S_F_OITO_VIANA_DO_CASTELO,Ligado (DDI)
ESF,Portatil,3260537,Associação Florestal do Lima,ESF,SF 08-111.2 AM,SF 08-111,1,Alto Minho,S_F_OITO_VIANA_DO_CASTELO,Ligado (DDI)
ESF,Portatil,3260538,Associação Florestal do Lima,ESF,SF 09-111 AM,SF 09-111,1,Alto Minho,S_F_NOVE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Viatura,3260539,Associação Florestal do Lima,ESF,SF 09-111.2 AM,SF 09-111,1,Alto Minho,S_F_NOVE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Portatil,3260540,"ATLÂNTICA - Associação Florestal dos Vales do Minho, Coura, Âncora, Vez e Lima",ESF,SF 10-111 AM,SF 10-111,1,Alto Minho,S_F_DEZ_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Viatura,3260541,"ATLÂNTICA - Associação Florestal dos Vales do Minho, Coura, Âncora, Vez e Lima",ESF,SF 10-111.2 AM,SF 10-111,1,Alto Minho,S_F_DEZ_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Portatil,3260542,Conselho Directivo dos Baldios da Freguesia de Lindoso,ESF,SF 11-111 AM,SF 11-111,1,Alto Minho,S_F_ONZE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Viatura,3260543,Conselho Directivo dos Baldios da Freguesia de Lindoso,ESF,SF 11-111.2 AM,SF 11-111,1,Alto Minho,S_F_ONZE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Portatil,3260544,Assembleia de Compartes dos Baldios da Freguesia de Soajo,ESF,SF 12-111 AM,SF 12-111,1,Alto Minho,S_F_DOZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Viatura,3260545,Assembleia de Compartes dos Baldios da Freguesia de Soajo,ESF,SF 12-111.2 AM,SF 12-111,1,Alto Minho,S_F_DOZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Portatil,3260546,Assembleia de Compartes dos Baldios da Freguesia de Cabreiro,ESF,SF 13-111 AM,SF 13-111,1,Alto Minho,S_F_TREZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Viatura,3260547,Assembleia de Compartes dos Baldios da Freguesia de Cabreiro,ESF,SF 13-111.2 AM,SF 13-111,1,Alto Minho,S_F_TREZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Portatil,3260548,Conselho Directivo dos Baldios da Freguesia de Entre Ambos-os-Rios,ESF,SF 14-111 AM,SF 14-111,1,Alto Minho,S_F_CATORZE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Viatura,3260549,Conselho Directivo dos Baldios da Freguesia de Entre Ambos-os-Rios,ESF,SF 14-111.2 AM,SF 14-111,1,Alto Minho,S_F_CATORZE_PONTE_DA_BARCA,Ligado (DDI)
ESF,Portatil,3260550,Assembleia de Compartes dos Baldios da Freguesia da Gavieira,ESF,SF 15-111 AM,SF 15-111,1,Alto Minho,S_F_QUINZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Viatura,3260551,Assembleia de Compartes dos Baldios da Freguesia da Gavieira,ESF,SF 15-111.2 AM,SF 15-111,1,Alto Minho,S_F_QUINZE_ARCOS_DE_VALDEVEZ,Ligado (DDI)
ESF,Portatil,3260552,Associação Florestal do Lima,ESF,SF 16-111.2 AM,SF 16-111,1,Alto Minho,S_F_DEZASSEIS_PONTE_DE_LIMA,Ligado (COD_EQUIPA)
ESF,Portatil,3260553,"ATLÂNTICA - Associação Florestal dos Vales do Minho, Coura, Âncora, Vez e Lima",ESF,SF 17-111.2 AM,SF 17-111,1,Alto Minho,S_F_DEZASETE_MONÇÃO,Ligado (DDI)
ESF,Portatil,3260554,Associação Florestal do Lima,ESF,SF 18-111.2 AM,SF 18-111,1,Alto Minho,S_F_DEZOITO_PONTE_DE_LIMA,Ligado (COD_EQUIPA)
ESF,Portatil,3260555,Associação de Produtores Florestais do Vale do Minho,ESF,SF 19-111.2 AM,SF 19-111,1,Alto Minho,S_F_DEZANOVE_VALENÇA,Ligado (DDI)
ESF,Portatil,3260556,Associação de Produtores Florestais do Vale do Minho,ESF,SF 20-111.2 AM,SF 20-111,1,Alto Minho,S_F_VINTE_VILA_NOVA_DE_CERVEIRA,Ligado (COD_EQUIPA)
ESF,Portatil,3260557,ACEB - Associação para a Cooperação Entre Baldios,ESF,SF 21-111.2 AM,SF 21-111,1,Alto Minho,S_F_VINTE_E_UM_VIANA_DO_CASTELO,Ligado (DDI)
ESF,Portatil,3260558,Conselho Directivo dos Baldios da Freguesia de Castro Laboreiro,ESF,SF 22-111.2 AM,SF 22-111,1,Alto Minho,S_F_VINTE_E_DOIS_MELGAÇO,Ligado (COD_EQUIPA)
ESF,Portatil,3260559,Associação de Produtores Florestais do Vale do Minho,ESF,SF 23-111.2 AM,SF 23-111,1,Alto Minho,S_F_VINTE_E_TRES_PAREDES_DE_COURA,Ligado (DDI)
ESF,Portatil,3260560,Município de Melgaço,ESF,SF 24-111.2 AM,SF 24-111,1,Alto Minho,S_F_VINTE_E_QUATRO_MELGAÇO,Ligado (COD_EQUIPA)
ESF,Portatil,3260561,Associação de Produtores Florestais do Vale do Minho,ESF,SF 25-111 AM,SF 25-111,1,Alto Minho,S_F_VINTE_E_CINCO_CAMINHA,Ligado (DDI)
ESF,Portatil,3260562,Associação de Produtores Florestais do Vale do Minho,ESF,SF 25-111.2 AM,SF 25-111,1,Alto Minho,S_F_VINTE_E_CINCO_CAMINHA,Ligado (COD_EQUIPA)
ESF,Portatil,3260563,Associação Florestal do Lima,ESF,SF 26-111 AM,SF 26-111,1,Alto Minho,S_F_VINTE_E_SEIS_PONTE_DE_LIMA,Ligado (DDI)
ESF,Portatil,3260564,Associação Florestal do Lima,ESF,SF 26-111.2 AM,SF 26-111,1,Alto Minho,S_F_VINTE_E_SEIS_PONTE_DE_LIMA,Ligado (COD_EQUIPA)
ESF,Viatura,3260565,Associação de Produtores Florestais do Vale do Minho,ESF,SF 27-111 AM,SF 27-111,1,Alto Minho,S_F_VINTE_E_SETE_MONÇÃO,Ligado (DDI)
ESF,Portatil,3260566,Associação de Produtores Florestais do Vale do Minho,ESF,SF 27-111.2 AM,SF 27-111,1,Alto Minho,S_F_VINTE_E_SETE_MONÇÃO,Ligado (DDI)
ESF,Portatil,3260567,Associação de Produtores Florestais do Vale do Minho,ESF,SF 28-111.2 AM,SF 28-111,1,Alto Minho,S_F_VINTE_E_OITO_MELGAÇO,Ligado (COD_EQUIPA)
ESF,Portatil,3260568,PORTUCALEA - Associação Florestal do Grande Porto,ESF,SF 02-114 MP,SF 02-114,1,Área Metropolitana do Porto,S_F_DOIS_VILA_DO_CONDE,Ligado (DDI)
ESF,Portatil,3260569,PORTUCALEA - Associação Florestal do Grande Porto,ESF,SF 02-114.2 MP,SF 02-114,1,Área Metropolitana do Porto,S_F_DOIS_VILA_DO_CONDE,Ligado (COD_EQUIPA)
ESF,Viatura,3260570,Portucalea-Associação Florestal do Grande Porto,ESF,SF 03-114 MP,SF 03-114,1,Área Metropolitana do Porto,S_F_TRES_VALONGO,Ligado (DDI)
ESF,Portatil,3260571,PORTUCALEA - Associação Florestal do Grande Porto,ESF,SF 03-114.2 MP,SF 03-114,1,Área Metropolitana do Porto,S_F_TRES_VALONGO,Ligado (COD_EQUIPA)
ESF,Portatil,3260572,Associação Florestal de Entre Douro e Vouga,ESF,SF 03-116.2 MP,SF 03-116,1,Área Metropolitana do Porto,S_F_TRÊS_VALE_DE_CAMBRA,Ligado (DDI)
ESF,Portatil,3260573,PORTUCALEA - Associação Florestal do Grande Porto,ESF,SF 04-114 MP,SF 04-114,1,Área Metropolitana do Porto,S_F_QUATRO_GONDOMAR,Ligado (DDI)
ESF,Viatura,3260574,PORTUCALEA - Associação Florestal do Grande Porto,ESF,SF 04-114.2 MP,SF 04-114,1,Área Metropolitana do Porto,S_F_QUATRO_GONDOMAR,Ligado (DDI)
ESF,Portatil,3260575,Associação Florestal de Entre Douro e Vouga,ESF,SF 04-116.2 MP,SF 04-116,1,Área Metropolitana do Porto,S_F_QUATRO_AROUCA,Ligado (DDI)
ESF,Portatil,3260576,Associação Florestal de Entre Douro e Vouga,ESF,SF 05-116.2 MP,SF 05-116,1,Área Metropolitana do Porto,S_F_CINCO_SANTA_MARIA_DA_FEIRA,Ligado (COD_EQUIPA)
ESF,Portatil,3260577,ASVA - Associação de Silvicultores do Vale do Ave,ESF,SF 06-113.2 MP,SF 06-113,1,Área Metropolitana do Porto,S_F_SEIS_SANTO_TIRSO,Ligado (DDI)
ESF,Portatil,3260578,Associação Florestal de Entre Douro e Tâmega,ESF,SF 15-115 TS,SF 15-115,1,Tâmega e Sousa,S_F_QUINZE_AMARANTE,Ligado (DDI)
ESF,Portatil,3260579,Associação Florestal de Entre Douro e Tâmega,ESF,SF 15-115.2 TS,SF 15-115,1,Tâmega e Sousa,S_F_QUINZE_AMARANTE,Ligado (COD_EQUIPA)
ESF,Portatil,3260580,AFVS - Associação Florestal do Vale do Sousa,ESF,SF 17-115 TS,SF 17-115,1,Tâmega e Sousa,S_F_DEZASSETE_FELGUEIRAS,Ligado (DDI)
ESF,Portatil,3260581,AFVS - Associação Florestal do Vale do Sousa,ESF,SF 17-115.2 TS,SF 17-115,1,Tâmega e Sousa,S_F_DEZASSETE_FELGUEIRAS,Ligado (COD_EQUIPA)
ESF,Portatil,3260582,Conselho Diretivo dos Baldios de Aboadela,ESF,SF 23-115 TS,SF 23-115,1,Tâmega e Sousa,S_F_VINTE_E_TRES_AMARANTE,Ligado (DDI)
ESF,Viatura,3260583,Conselho Diretivo dos Baldios de Aboadela,ESF,SF 23-115.2 TS,SF 23-115,1,Tâmega e Sousa,S_F_VINTE_E_TRES_AMARANTE,Ligado (DDI)
ESF,Portatil,3260584,Associação Florestal de Entre Douro e Tâmega,ESF,SF 26-115.2 TS,SF 26-115,1,Tâmega e Sousa,S_F_VINTE_E_SEIS_MARCO_DE_CANAVEZES,Ligado (COD_EQUIPA)
ESF,Portatil,3260585,Associação Florestal de Entre Douro e Tâmega,ESF,SF 31-115.2 TS,SF 31-115,1,Tâmega e Sousa,S_F_TRITA_E_UM_BAIÃO,Ligado (COD_EQUIPA)
ESF,Portatil,3260586,Associação Florestal de Entre Douro e Tâmega,ESF,SF 34-115.2 TS,SF 34-115,1,Tâmega e Sousa,S_F_TRINTA_E_QUATRO_CINFÃES,Ligado (DDI)
ESF,Portatil,3260587,Associação Florestal de Entre Douro e Tâmega,ESF,SF 36-115 TS,SF 36-115,1,Tâmega e Sousa,S_F_TRINTA_E_SEIS_CINFÃES,Ligado (DDI)
ESF,Portatil,3260588,Associação Florestal de Entre Douro e Tâmega,ESF,SF 36-115.2 TS,SF 36-115,1,Tâmega e Sousa,S_F_TRINTA_E_SEIS_CINFÃES,Ligado (COD_EQUIPA)
ESF,Viatura,3260589,Assocação Florestal de Entre Douro e Tâmega,ESF,SF 37-115 TS,SF 37-115,1,Tâmega e Sousa,S_F_TRINTA_E_SETE_AMARANTE,Ligado (DDI)
